ter_id,nombre,lugar_over,direccion,provincia,departamento,telefono,latitud,longitud
116,LIMA / LIMA / EL AGUSTINO / PUENTE NUEVO,PUENTE NUEVO,AV 1° DE MAYO 3071 - URB HUANCAYO  referencia : FRENTE AL GRIFO REPSOL,LIMA,LIMA,(01) 500 7878,-120.300.919,-769.991.156
117,LA LIBERTAD / OTUZCO / OTUZCO / OTUZCO,OTUZCO,AV. ALFREDO GUTIÉRREZ N° 120 - Otuzco - Otuzco - La Libertad.,OTUZCO,LA LIBERTAD,01 5007878,-79.063.204,-785.644.849
118,LA LIBERTAD / SANCHEZ CARRION / HUAMACHUCO / HUAMACHUCO,HUAMACHUCO,"JR. SIMON BOLIVAR 763, HUAMACHUCO SANCHEZ CARRION - LA LIBERTAD, REF. ENTRE JR. INDEPENDECIA Y JR. ALFONSO UGARTE",SANCHEZ CARRION,LA LIBERTAD,,-78.123.777.275.905,-78.049.513.218.584
121,LA LIBERTAD / ASCOPE / PAIJAN / PAIJAN,PAIJAN,AV. PANAMERICANA NORTE N° 1320 - paijan,ASCOPE,LA LIBERTAD,01 5007878,-77.338.355,-793.006.298
122,LIMA / LIMA / LURIN / NUEVO LURIN,NUEVO LURIN,AV. ANTIGUA PANAMERICANA SUR KM 37 MZ C LT 17 - FUNDO LAS SALINAS  - referencia a cuadra y media del mercado virgen de las mercedes.,LIMA,LIMA,(01) 500 7878,-122.819.873,-768.658.386
123,LIMA / LIMA / BRENA / AV VENEZUELA,AV VENEZUELA,"AV. VENEZUELA 1670 - BREÑA, REFERENCIA: AL COSTADO DEL POLICLÍNICO DE BREÑA",LIMA,LIMA,(01) 500 7878,-12.055.384.807.465.600,-7.705.571.332.375.150
124,LIMA / HUARAL / HUARAL / HUARAL,HUARAL,"AV. JORGE CHAVEZ 647, REFERENCIA: ENTRE LA AV. GRAU Y BOLOGNESI (CERCA AL PARADERO MOTO NATURALES)",HUARAL,LIMA,,-114.922.796.340.686,-772.052.552.735.911
125,ANCASH / HUARAZ / HUARAZ / HUARAZ,HUARAZ,"AV. 27 DE NOVIEMBRE CDRA. 20 S/N - VILLON BAJO, REFERENCIA: AL COSTADO DEL GRIFO PRIMAX",HUARAZ,ANCASH,(01) 500 7878,-9.541.547,-77.531.075
128,CAJAMARCA / CUTERVO / CUTERVO / CUTERVO,CUTERVO,av. SALOMÓN VILCHEZ murga  S/N. CDRA 9  REFERENCIA : FRENTE A LA CLÍNICA CUTERVO,CUTERVO,CAJAMARCA,(01) 500 7878,-637.884,-78.812.233
130,ICA / NAZCA / NAZCA / AV CIRCUNVALACION NAZCA,AV CIRCUNVALACION NAZCA,"EN LA ESQUINA DE LA AV. CIRCUNVALACIÓN CON CALLE S/N, HOY CALLE LAS MERCEDES S/N NASCA - REFERENCIA: AL LADO DE LA IEP JEAN PIAGET",NAZCA,ICA,01 5007878,-148.252.316,-749.463.744
131,ICA / NAZCA / MARCONA / SAN JUAN DE MARCONA,SAN JUAN DE MARCONA,"AA.HH. SAN MARTÍN DE PORRES E-4 SAN JUAN DE MARCONA - NAZCA - ICA, REF. CRUCE DE AV. LAS ORQUÍDEAS CON AV. SAN MARTIN DE PORRAS A DOS PUERTAS DEL HOTEL SAN MARTIN",NAZCA,ICA,(01) 500 7878,-15.372.099.353.436,-751.568
132,PASCO / PASCO / HUAYLLAY / HUAYLLAY,HUAYLLAY,calle Lima S/N Barrio Arenales  Huayllay  Pasco   - REFERENCIA: AL COSTADO DEL COLEGIO CESAR VALLEJO,PASCO,PASCO,(01) 500 7878,-110.007.095,-763.672.417
133,PIURA / TALARA / EL ALTO / EL ALTO,EL ALTO,"AV. BOLOGNESI O-37 CENTRO EL ALTO, REFERENCIA: A ESPALDAS DE LA MUNICIPALIDAD DE EL ALTO",TALARA,PIURA,(01) 500 7878,-4.268.178,-81.221.744
134,TUMBES / ZARUMILLA / AGUAS VERDES / AGUAS VERDES,AGUAS VERDES,"AV TUMBES S/N LOTE 09 MZ 17 , A.H TOMAS ARIZOLA OLAYA , SECTOR II - REFERENCIA : A UNA CUADRA DEL PARQUE TOMAS ARIZOLA.",ZARUMILLA,TUMBES,(01) 500 7878,-34.805.719,-802.469.869
135,PIURA / TALARA / LOS ORGANOS / LOS ORGANOS,LOS ORGANOS,"Av. Panamericana Norte P-29 - URB. Cercado zona URBANA,  Referencia al frente de grifo de troncos o grifo San Pedro",TALARA,PIURA,(01) 500 7878,-41.747.753.095.423,-81.123.411.684.872
